State,Code,Tax Rate
Alabama,AL,4.00%
Alaska,AK,0.00%
Arizona,AZ,5.60%
Arkansas,AR,6.50%
California,CA,7.50%
Colorado,CO,2.90%
Connecticut,CT,6.35%
Delaware,DE,0.00%
Florida,FL,6.00%
Georgia,GA,4.00%
Hawaii,HI,4.00%
Idaho,ID,6.00%
Illinois,IL,6.25%
Indiana,IN,7.00%
Iowa,IA,6.00%
Kansas,KS,6.15%
Kentucky,KY,6.00%
Louisiana,LA,4.00%
Maine,ME,5.50%
Maryland,MD,6.00%
Massachusetts,MA,6.25%
Michigan,MI,6.00%
Minnesota,MN,6.88%
Mississippi,MS,7.00%
Missouri,MO,4.23%
Montana,MT,0.00%
Nebraska,NE,5.50%
Nevada,NV,6.85%
New Hampshire,NH,0.00%
New Jersey,NJ,7.00%
New Mexico,NM,5.13%
New York,NY,4.00%
North Carolina,NC,4.75%
North Dakota,ND,5.00%
Ohio,OH,5.75%
Oklahoma,OK,4.50%
Oregon,OR,0.00%
Pennsylvania,PA,6.00%
Rhode Island,RI,7.00%
South Carolina,SC,6.00%
South Dakota,SD,4.00%
Tennessee,TN,7.00%
Texas,TX,6.25%
Utah,UT,4.70%
Vermont,VT,6.00%
Virginia,VA,4.30%
Washington,WA,6.50%
West Virginia,WV,6.00%
Wisconsin,WI,5.00%
Wyoming,WY,4.00%